,city,lat,lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,date
282,mehamn,71.0357,27.8492,44.55,61,0,0.0,NO,1653947078
283,araouane,18.9048,-3.5265,95.94,18,61,11.03,ML,1653947078
284,north las vegas,36.1989,-115.1175,84.31,12,0,6.91,US,1653947078
285,mount isa,-20.7333,139.5,58.77,26,76,8.05,AU,1653947079
286,maldonado,-34.6667,-54.9167,47.23,62,95,10.27,UY,1653946827
287,hambantota,6.1241,81.1185,75.54,100,40,6.91,LK,1653947079
288,upington,-28.4478,21.2561,37.78,75,41,3.44,ZA,1653947080
289,anadyr,64.75,177.4833,43.3,75,83,8.95,RU,1653947080
290,hamilton,39.1834,-84.5333,89.44,50,20,16.11,US,1653946826
291,njombe,-9.3333,34.7667,50.29,93,61,5.12,TZ,1653947080
292,half moon bay,37.4636,-122.4286,81.54,64,0,21.85,US,1653946483
293,byron bay,-28.65,153.6167,58.71,57,23,17.02,AU,1653947028
294,cavalcante,-13.7975,-47.4583,70.16,39,1,3.13,BR,1653947081
295,mehriz,31.5917,54.4318,70.3,9,0,2.42,IR,1653947081
296,palu,-0.8917,119.8707,73.85,76,73,2.89,ID,1653947082
297,santa rosalia,27.3167,-112.2833,82.81,31,0,4.47,MX,1653947082
298,oistins,13.0667,-59.5333,84.29,65,20,16.11,BB,1653947029
299,kutum,14.2,24.6667,80.33,12,0,9.91,SD,1653947082
300,tongliao,43.6125,122.2653,54.72,51,28,9.4,CN,1653947083
301,ibtin,32.7617,35.1008,71.02,74,0,4.41,IL,1653947083
302,ararangua,-28.9347,-49.4858,56.44,88,100,5.84,BR,1653947083
303,isla mujeres,21.2311,-86.731,80.17,77,100,20.94,MX,1653947084
304,labuhan,-6.8844,112.2051,77.99,86,3,5.37,ID,1653947084
305,helena,46.5927,-112.0361,49.82,71,100,11.5,US,1653946960
306,vestmanna,62.1564,-7.1664,43.72,87,100,9.22,FO,1653947084
307,klaksvik,62.2266,-6.589,45.52,87,100,10.85,FO,1653947085
308,nouadhibou,20.931,-17.0347,69.78,83,0,14.97,MR,1653947085
309,ambilobe,-13.2,49.05,67.23,86,2,3.74,MG,1653947085
310,eydhafushi,5.1033,73.0708,79.52,85,100,25.01,MV,1653947085
311,bambous virieux,-20.3428,57.7575,73.65,73,75,14.97,MU,1653947086
312,dong hoi,17.4833,106.6,79.79,82,100,4.92,VN,1653947086
313,buta,2.7858,24.73,68.88,95,10,0.92,CD,1653947086
314,teya,60.3778,92.6267,44.67,89,100,10.09,RU,1653947087
315,shar,49.5886,81.0453,65.64,43,100,3.83,KZ,1653947087
316,lixourion,38.2019,20.4314,66.2,100,0,0.0,GR,1653947087
317,batyrevo,55.0675,47.6111,50.32,78,15,5.35,RU,1653947148
318,luanda,-8.8368,13.2343,71.6,83,40,5.75,AO,1653947148
319,sulangan,11.1373,123.7228,80.38,78,99,8.39,PH,1653947148
320,hunterville,-39.9333,175.5667,59.7,74,25,9.89,NZ,1653947149
321,bunia,1.5667,30.25,63.46,93,100,5.28,CD,1653947149
322,am timan,11.0297,20.2827,86.68,40,69,9.75,TD,1653947149
323,aklavik,68.2191,-135.0107,37.4,87,75,5.75,CA,1653947150
324,kavieng,-2.5744,150.7967,83.34,70,99,12.77,PG,1653947150
325,luis correia,-2.8792,-41.6669,80.6,94,75,8.05,BR,1653947150
326,alofi,-19.0595,-169.9187,80.49,83,6,4.61,NU,1653947150
327,shonguy,68.7526,33.146,39.27,75,0,2.24,RU,1653947151
328,saint-pierre,-21.3393,55.4781,70.92,73,40,8.05,RE,1653947151
329,aykhal,66.0,111.5,42.67,58,93,11.12,RU,1653947151
330,noyabrsk,63.1994,75.4507,43.14,66,13,12.19,RU,1653947152
331,mogadishu,2.0371,45.3438,79.74,76,81,15.03,SO,1653947152
332,trinidad,-14.8333,-64.9,73.38,94,75,9.22,BO,1653947152
333,lagoa,39.05,-27.9833,59.2,75,46,21.09,PT,1653947153
334,kaniama,-7.5667,24.1833,71.11,52,80,3.09,CD,1653947153
335,ulaangom,49.9811,92.0667,58.82,39,100,5.12,MN,1653947153
336,uarini,-2.99,-65.1083,75.97,96,89,2.35,BR,1653947154
337,along,28.1667,94.7667,70.59,97,24,1.34,IN,1653947154
338,bubaque,11.2833,-15.8333,79.3,80,100,20.33,GW,1653947154
339,joao pinheiro,-17.7425,-46.1725,68.25,45,0,1.79,BR,1653947155
340,harper,4.375,-7.7169,78.39,85,65,8.43,LR,1653947155
341,durban,-29.8579,31.0292,59.02,77,2,5.99,ZA,1653947155
342,sehithwa,-20.4667,22.7167,58.12,33,0,7.76,BW,1653947155
343,urumqi,43.801,87.6005,65.35,45,0,8.95,CN,1653947156
344,saint-alexandre,44.2278,4.6214,65.07,53,72,2.77,FR,1653947156
345,slave lake,55.2834,-114.769,57.18,47,0,10.36,CA,1653946974
346,mahdalynivka,48.921,34.9156,62.2,86,45,7.11,UA,1653947157
347,vardo,70.3705,31.1107,39.18,81,5,4.61,NO,1653947157
348,bathsheba,13.2167,-59.5167,84.81,65,20,16.11,BB,1653947157
349,lerwick,60.1545,-1.1494,50.0,86,15,8.55,GB,1653947103
350,yerbogachen,61.2767,108.0108,50.14,56,83,6.44,RU,1653947158
351,verkhnevilyuysk,63.4453,120.3167,43.18,93,100,8.05,RU,1653947158
352,abu zabad,12.35,29.25,85.03,19,37,1.9,SD,1653947158
353,romny,50.751,33.4747,58.1,97,100,6.91,UA,1653947158
354,sao borja,-28.6606,-56.0044,45.95,72,0,7.94,BR,1653947159
355,vryburg,-26.9566,24.7284,47.48,48,0,7.2,ZA,1653947159
356,imbituba,-28.24,-48.6703,61.86,92,100,5.99,BR,1653947160
357,taoudenni,22.6783,-3.9836,96.67,12,58,12.48,ML,1653947160
358,plettenberg bay,-34.0527,23.3716,55.65,61,93,12.48,ZA,1653947160
359,swan hill,-35.3378,143.5544,47.16,83,39,17.92,AU,1653947161
360,vestmannaeyjar,63.4427,-20.2734,50.4,88,99,6.55,IS,1653947161
361,jiaxing,30.7522,120.75,64.92,84,100,5.41,CN,1653946864
362,talaya,61.3833,152.75,44.71,78,100,5.95,RU,1653947162
363,iskateley,67.6803,53.1512,38.16,69,56,9.66,RU,1653947222
364,rocha,-34.4833,-54.3333,45.64,74,98,10.94,UY,1653947222
365,kloulklubed,7.0419,134.2556,73.9,74,98,2.95,PW,1653947223
366,macaiba,-5.8583,-35.3539,80.98,89,20,6.91,BR,1653947136
367,dunedin,-45.8742,170.5036,53.8,67,100,1.99,NZ,1653947223
368,qaqortoq,60.7167,-46.0333,40.87,78,81,4.83,GL,1653947223
369,karpathos,35.507,27.2132,69.76,88,2,10.36,GR,1653947224
370,yulara,-25.2406,130.9889,49.35,52,100,3.85,AU,1653947224
371,mao,39.8885,4.2658,66.76,94,0,1.14,ES,1653947224
372,namibe,-15.1961,12.1522,68.29,69,0,3.09,AO,1653947225
373,ambon,-3.6954,128.1814,75.34,88,40,2.3,ID,1653947225
374,antigonish,45.6169,-61.9986,61.97,90,58,1.99,CA,1653946933
375,barra do corda,-5.5,-45.25,78.01,69,4,3.13,BR,1653947226
376,port lincoln,-34.7333,135.8667,54.41,58,82,25.43,AU,1653946932
377,qiyang,26.5911,111.8474,71.42,99,100,1.99,CN,1653947226
378,kaiyuan,23.6977,103.3037,63.97,95,98,2.71,CN,1653947226
379,alghero,40.5589,8.3181,69.89,83,0,8.05,IT,1653947227
380,rorvik,64.8621,11.2373,57.18,67,0,5.75,NO,1653947227
381,morondava,-20.2833,44.2833,70.92,78,0,12.86,MG,1653947227
382,kawalu,-7.3817,108.2082,71.19,96,41,2.93,ID,1653947228
383,alyangula,-13.8483,136.4192,77.09,74,77,6.38,AU,1653947228
384,baoqing,46.3317,132.2111,51.33,94,100,10.4,CN,1653947228
385,pacific grove,36.6177,-121.9166,75.38,70,0,13.8,US,1653947043
386,esso,55.9333,158.7,42.46,87,85,2.19,RU,1653947229
387,mattru,7.6244,-11.8332,75.78,96,90,0.72,SL,1653947229
388,boca do acre,-8.7522,-67.3978,81.27,68,99,1.05,BR,1653947229
389,avera,33.194,-82.5271,71.65,53,93,9.64,US,1653947230
390,valdivia,-39.8142,-73.2459,48.29,87,3,2.15,CL,1653947230
391,sitka,57.0531,-135.33,53.49,76,40,9.22,US,1653947180
392,fort nelson,58.8053,-122.7002,65.79,32,75,4.61,CA,1653947231
393,mildura,-34.2,142.15,49.06,87,44,22.15,AU,1653947231
394,haines junction,60.7522,-137.5108,69.75,18,0,3.44,CA,1653947231
395,the valley,18.217,-63.0578,84.06,69,20,17.27,AI,1653947232
396,mecca,21.4267,39.8261,88.75,20,1,4.5,SA,1653947232
397,zharkent,44.1628,80.0,59.43,77,100,5.03,KZ,1653947232
398,dingle,10.9995,122.6711,76.23,87,99,4.99,PH,1653947233
399,lysva,58.1086,57.8053,47.05,99,99,3.6,RU,1653947233
400,bafq,31.6128,55.4107,71.24,9,0,5.12,IR,1653947233
401,cayenne,4.9333,-52.3333,77.09,1,75,0.0,GF,1653947234
402,cedar rapids,42.0083,-91.6441,91.51,43,0,25.32,US,1653947234
403,galveston,29.3669,-94.9669,90.05,76,40,19.57,US,1653946999
404,sao joao da barra,-21.6403,-41.0511,77.09,87,10,12.06,BR,1653947234
405,ugoofaaru,5.6667,73.0,79.2,88,100,25.66,MV,1653947235
406,yefremov,53.1481,38.0992,57.97,78,100,8.75,RU,1653947235
407,nohfelden,49.5869,7.1428,48.15,78,75,5.03,DE,1653947235
408,gidole,5.65,37.3667,54.12,89,78,1.7,ET,1653947236
409,brumado,-14.2036,-41.6653,77.14,44,0,3.71,BR,1653947296
410,gazojak,41.1875,61.4036,77.67,22,0,12.35,TM,1653947296
411,fergus falls,46.283,-96.0776,69.17,89,100,23.02,US,1653947232
412,mpulungu,-8.7623,31.1141,72.48,56,31,6.76,ZM,1653947297
413,camalu,30.85,-116.0667,67.96,61,0,13.06,MX,1653947297
414,varna,43.2167,27.9167,65.88,89,0,3.44,BG,1653947297
415,gbarnga,6.9956,-9.4722,74.12,96,97,4.76,LR,1653947298
416,voskresenskoye,56.8381,45.4317,48.09,83,74,4.03,RU,1653947298
417,axim,4.8699,-2.2405,77.58,87,50,8.57,GH,1653947298
418,kangaatsiaq,68.3065,-53.4641,32.94,80,4,13.04,GL,1653947299
419,zaysan,47.4667,84.8667,60.96,50,100,10.67,KZ,1653947299
420,wasilla,61.5814,-149.4394,73.06,34,0,11.5,US,1653947299
421,takab,36.4009,47.1133,57.67,60,37,4.16,IR,1653947300
422,zhigansk,66.7697,123.3711,35.98,76,100,15.3,RU,1653947300
423,akdepe,42.0551,59.3788,73.49,24,0,7.7,TM,1653947300
424,nieuw amsterdam,5.8833,-55.0833,79.14,91,40,0.0,SR,1653947301
425,boden,65.8252,21.6886,59.0,89,99,2.51,SE,1653947301
426,tilichiki,60.4667,166.1,40.78,70,89,3.89,RU,1653947301
427,pangnirtung,66.1451,-65.7125,33.8,80,20,9.22,CA,1653947302
428,fairbanks,64.8378,-147.7164,73.6,33,0,6.91,US,1653947219
429,sur,22.5667,59.5289,87.13,41,0,16.69,OM,1653947302
430,colac,-38.3333,143.5833,42.84,93,79,12.8,AU,1653947302
431,kahului,20.8947,-156.47,87.82,57,40,19.57,US,1653947303
432,dunbar,38.3606,-81.7374,92.34,47,20,5.75,US,1653947303
433,chumikan,54.7183,135.315,33.46,99,100,4.9,RU,1653947303
434,kondinskoye,59.6481,67.41,49.05,96,62,7.74,RU,1653947304
435,innisfail,-17.5333,146.0333,68.95,72,32,3.27,AU,1653947304
436,saint-francois,46.4154,3.9054,54.84,54,0,2.3,FR,1653947304
437,yarada,17.65,83.2667,84.52,94,20,2.3,IN,1653947304
438,abong mbang,3.9833,13.1833,66.99,99,96,2.44,CM,1653947305
439,malkangiri,18.35,81.9,83.89,50,100,1.77,IN,1653947305
440,shu,43.5983,73.7614,57.69,82,100,3.62,KZ,1653947305
441,leshukonskoye,64.8989,45.7622,50.29,75,47,5.03,RU,1653947306
442,yablonovo,50.8523,37.3574,57.31,88,84,9.48,RU,1653947306
443,skegness,53.1436,0.3363,52.05,90,100,16.17,GB,1653947307
444,miajadas,39.1513,-5.9084,65.75,49,100,1.79,ES,1653947307
445,bilma,18.6853,12.9164,91.4,8,0,8.05,NE,1653947307
446,koshurnikovo,54.1667,93.3,51.48,99,93,2.46,RU,1653947307
447,bonthe,7.5264,-12.505,80.13,84,84,4.43,SL,1653947308
448,walvis bay,-22.9575,14.5053,58.15,72,0,8.05,NA,1653947308
449,china,25.7,-99.2333,101.01,29,2,20.31,MX,1653947308
450,tyrma,50.0833,132.1667,51.33,88,100,13.29,RU,1653947309
451,tupik,54.4253,119.9327,41.68,97,100,3.44,RU,1653947309
452,pouebo,-20.4,164.5667,77.72,75,75,4.34,NC,1653947309
453,havoysund,70.9963,24.6622,46.63,55,3,11.14,NO,1653947310
454,andilamena,-17.0167,48.5833,54.1,91,2,6.35,MG,1653947310
455,black diamond,47.3087,-122.0032,59.05,67,100,1.01,US,1653947310
456,bandarbeyla,9.4942,50.8122,79.32,81,100,23.71,SO,1653947311
457,goulburn,-34.75,149.7167,40.23,92,100,24.63,AU,1653947371
458,pisco,-13.7,-76.2167,68.05,68,0,14.97,PE,1653947371
459,broken hill,-31.95,141.4333,47.64,81,28,17.29,AU,1653947372
460,tanout,14.9709,8.8879,86.97,9,0,5.77,NE,1653947372
461,omboue,-1.5746,9.2618,73.51,92,69,6.46,GA,1653947372
462,talnakh,69.4865,88.3972,31.21,82,5,5.95,RU,1653947373
463,las cruces,32.3123,-106.7783,93.38,7,0,19.57,US,1653947315
464,chabahar,25.2919,60.643,83.77,78,1,6.29,IR,1653947373
465,yasnyy,51.0333,59.8742,56.59,79,77,10.04,RU,1653947373
466,yakeshi,49.2833,120.7333,47.39,65,98,4.7,CN,1653947374
467,santa rosa,14.3122,121.1114,80.11,90,100,4.85,PH,1653947374
468,oranjestad,12.524,-70.027,84.15,70,20,24.16,AW,1653947304
469,mutoko,-17.397,32.2268,55.38,60,0,5.26,ZW,1653947374
470,taloqan,36.7361,69.5345,66.49,31,0,4.85,AF,1653947375
471,hovd,48.0056,91.6419,59.45,29,100,3.24,MN,1653947375
472,coahuayana,18.7333,-103.6833,87.75,53,22,9.04,MX,1653947375
473,jesus del monte,19.1081,-99.9944,73.51,44,79,7.61,MX,1653947376
474,sinegorskiy,48.0139,40.8447,64.17,78,31,6.64,RU,1653947376
475,port-gentil,-0.7193,8.7815,75.16,88,20,10.36,GA,1653947376
476,saldanha,-33.0117,17.9442,50.05,74,35,3.44,ZA,1653947377
477,vieques,18.425,-65.8329,84.85,76,31,13.91,PR,1653947377
478,valandovo,41.3169,22.5611,64.6,76,0,0.96,MK,1653947377
479,finschhafen,-6.6024,147.8681,81.23,76,98,6.24,PG,1653947378
480,paso de los toros,-32.8167,-56.5167,40.96,72,3,8.34,UY,1653947378
481,popondetta,-8.7537,148.2534,77.45,85,57,1.14,PG,1653947378
482,tehachapi,35.1322,-118.449,75.33,33,0,20.0,US,1653947346
483,sorong,-0.8833,131.25,78.76,84,100,6.93,ID,1653947379
484,high prairie,55.4334,-116.4858,59.67,37,10,5.75,CA,1653947379
485,preobrazheniye,42.9019,133.9064,49.15,93,100,15.46,RU,1653947379
486,san cristobal,7.7669,-72.225,80.78,59,89,5.53,VE,1653947226
487,havelock,34.8791,-76.9013,84.2,64,0,9.22,US,1653947325
488,jasper,37.2001,-94.3502,82.45,59,100,24.16,US,1653947380
489,korla,41.7597,86.1469,77.23,21,92,14.7,CN,1653947380
490,xuanzhou,30.9525,118.7553,67.15,83,27,5.14,CN,1653947380
491,hohhot,40.8106,111.6522,50.29,29,0,6.71,CN,1653947381
492,sargatskoye,55.6101,73.4972,55.29,87,100,5.12,RU,1653947381
493,konza,-1.7426,37.1294,55.98,92,37,3.8,KE,1653947381
494,lastoursville,-0.8143,12.7287,72.46,97,100,1.86,GA,1653947382
495,santa maria,-29.6842,-53.8069,49.3,57,0,4.61,BR,1653947085
496,araceli,10.5529,119.9913,81.01,74,100,6.93,PH,1653947382
497,privas,44.5833,4.5,57.18,52,53,2.33,FR,1653947382
498,marsh harbour,26.5412,-77.0636,77.68,65,100,4.0,BS,1653947383
499,cairns,-16.9167,145.7667,68.07,100,35,2.3,AU,1653947312
500,bardstown,37.8092,-85.4669,89.29,47,0,8.05,US,1653947383
501,xiaoweizhai,26.1903,107.5125,62.94,97,88,1.43,CN,1653947384
502,karaton,-6.3424,106.1045,72.86,96,19,2.68,ID,1653947384
503,coldwater,41.9403,-85.0005,86.07,42,0,11.5,US,1653947384
504,khani,41.9563,42.9566,56.77,68,0,6.22,GE,1653947445
505,constitucion,-35.3333,-72.4167,46.63,68,0,10.38,CL,1653947445
506,fayaoue,-20.65,166.5333,78.44,79,56,2.62,NC,1653947445
507,chinsali,-10.5414,32.0816,56.21,59,1,6.85,ZM,1653947445
508,sinnamary,5.3833,-52.95,78.62,86,100,10.09,GF,1653947446
509,bambamarca,-6.6833,-78.5333,59.29,79,35,6.04,PE,1653947446
510,lagos,6.5833,3.75,82.72,87,80,6.31,NG,1653947316
511,planadas,3.197,-75.6451,75.63,84,77,2.33,CO,1653947446
512,eyrarbakki,63.863,-21.1481,51.21,75,64,8.66,IS,1653947447
513,pontianak,-0.0333,109.3333,75.18,94,84,2.3,ID,1653947190
514,khvoynaya,58.9,34.5333,51.73,68,100,4.21,RU,1653947447
515,zvishavane,-20.3267,30.0665,59.2,83,40,11.3,ZW,1653947448
516,los llanos de aridane,28.6585,-17.9182,69.55,84,75,13.8,ES,1653947448
517,auki,-8.7676,160.7034,82.94,69,46,3.89,SB,1653947448
518,talcher,20.95,85.2167,83.14,63,89,3.18,IN,1653947449
519,windsor,42.3001,-83.0165,91.74,43,0,23.02,CA,1653947249
520,panaba,21.2833,-88.2667,82.02,67,97,19.13,MX,1653947449
521,mana,5.6592,-53.7767,78.46,86,100,10.02,GF,1653947450
522,zhirnovsk,50.9845,44.7735,54.36,88,45,7.7,RU,1653947450
523,kluang,2.0251,103.3328,75.54,94,76,1.1,MY,1653947450
524,flin flon,54.7682,-101.865,53.44,87,75,11.5,CA,1653947450
525,viedma,-40.8135,-62.9967,43.23,80,63,10.89,AR,1653947451
526,sioux city,42.5,-96.4003,83.66,32,0,23.02,US,1653947451
527,tukrah,32.5341,20.5791,71.55,56,43,5.32,LY,1653947451
528,sundumbili,-29.1337,31.3975,54.84,72,0,5.73,ZA,1653947452
529,amazar,53.858,120.875,42.69,97,100,1.41,RU,1653947452
530,wollongong,-34.4333,150.8833,55.08,63,85,18.1,AU,1653947452
531,vallenar,-28.5708,-70.7581,62.44,39,100,3.6,CL,1653947453
532,ilorin,8.5,4.55,76.8,78,76,9.06,NG,1653947453
533,puerto baquerizo moreno,-0.9,-89.6,70.79,94,100,9.22,EC,1653947453
534,north bend,43.4065,-124.2243,62.92,80,100,11.5,US,1653947454
535,quatre cocos,-20.2078,57.7625,73.51,65,83,16.69,MU,1653947454
536,mopti,14.6667,-4.0,91.44,38,0,6.91,ML,1653947454
537,edgewater,28.9889,-80.9023,90.18,69,3,14.41,US,1653947454
538,bundaberg,-24.85,152.35,62.22,46,73,8.99,AU,1653947455
539,morgan city,29.6994,-91.2068,93.0,70,40,12.66,US,1653947455
540,denpasar,-8.65,115.2167,78.46,89,20,4.61,ID,1653947455
541,covington,39.0837,-84.5086,89.71,50,20,16.11,US,1653947456
542,burns lake,54.2331,-125.7533,63.82,27,88,6.2,CA,1653947456
543,okhotsk,59.3833,143.3,38.82,82,100,5.64,RU,1653947456
544,peru,40.7537,-86.0689,89.35,44,75,19.57,US,1653947406
545,chernyshevskiy,63.0128,112.4714,47.86,53,54,5.61,RU,1653947457
546,challans,46.8436,-1.8749,55.6,75,36,9.66,FR,1653947457
547,basdiot,9.9472,123.3752,78.73,77,100,1.36,PH,1653947457
548,springdale,36.1867,-94.1288,84.07,59,75,23.0,US,1653947313
549,sabha,27.0377,14.4283,89.87,14,99,11.63,LY,1653947458
550,biltine,14.5333,20.9167,88.36,11,3,7.7,TD,1653947518
551,penzance,50.1186,-5.5371,50.68,64,4,10.09,GB,1653947518
552,zarechnyy,53.2036,45.1923,50.83,79,75,2.91,RU,1653947519
553,hinton,53.4001,-117.5857,56.59,49,77,3.31,CA,1653947519
554,yantal,56.8471,105.2542,48.45,86,100,6.15,RU,1653947519
555,sayyan,15.1718,44.3244,63.19,35,40,1.34,YE,1653947519
556,vaitape,-16.5167,-151.75,79.93,71,61,7.65,PF,1653947520
557,nalut,30.3333,10.85,84.22,21,86,11.25,LY,1653947520
558,kirakira,-10.4544,161.9205,82.71,76,35,5.35,SB,1653947520
559,virginia beach,36.8529,-75.978,86.02,65,20,13.8,US,1653947347
560,srandakan,-7.9386,110.2506,75.27,88,55,2.48,ID,1653947521
561,iwanai,42.9744,140.5089,53.37,83,100,8.32,JP,1653947521
562,grindavik,63.8424,-22.4338,48.67,100,100,8.05,IS,1653947521
563,dawson creek,55.7666,-120.2362,60.44,39,75,11.5,CA,1653947522
564,henties bay,-22.116,14.2845,58.41,78,0,7.72,NA,1653947522
